번호,항목 (곡 제목),테마 (분위기),가사 옵션,내용 (가사/설명),프롬프트 (Suno AI 스타일 태그)
1,새벽녘의 따뜻한 온기,깊은 휴식,가사 포함 (보컬 곡),"조용한 새벽 하늘 아래
작은 온기가 찾아와
지친 마음에 차오르는
은은한 안식의 시간","soft acoustic guitar, lo-fi piano, soothing melody, warm female vocal, relaxing ambient, 70 bpm"
2,비 내리는 카페 테라스,감성/비,가사 포함 (보컬 곡),"창가를 두드리는 빗소리
따뜻한 라떼 한 잔의 여유
천천히 흐르는 시간 속에
생각을 내려놓아","chill jazz hop, rain sound effect, warm electric piano, smooth female vocal, smooth bass, 75 bpm"
3,오늘도 잘 견뎌낸 너에게,위로/응원,가사 포함 (보컬 곡),"긴 하루의 끝자락에서
수고했다고 말해줄게
내일은 더 빛날 테니
편안히 눈을 감아","emotional ballad, acoustic piano, soft strings, warm female vocal, slow tempo"
4,마인드 리셋 (Focus Flow),집중력 강화,가사 포함 (보컬 곡),"복잡한 생각 잠시 비우고
차분한 숨결로 나를 채워
맑아진 마음으로 다시
새로운 집중을 시작해","ambient chill synth, binaural beats, focus study music, soft vocal hums, atmospheric, 60 bpm"
5,햇살 가득한 주말 아침,에너지 리프레시,가사 포함 (보컬 곡),"커튼 사이로 쏟아지는 햇살
새로운 바람이 불러오는 기쁨
가벼운 걸음으로 시작해
오늘의 주인공은 나야","bright indie pop, cheerful acoustic strumming, joyful whistling, upbeat bright vocal, 110 bpm"
6,노을빛 드라이브,드라이브/기분전환,가사 포함 (보컬 곡),"붉게 물드는 저 하늘 너머
시원하게 달리는 도로 위에
모든 걱정은 바람에 날리고
자유로움을 느껴봐","synthwave, 80s retro pop, energetic synth, driving beat, nostalgic male vocal, 120 bpm"
7,별빛 아래 딥 슬립,수면/숙면,가사 포함 (보컬 곡),"밤하늘 가득 수놓은 별들
지친 하루를 따스히 감싸네
편안한 꿈속으로 걸어가
아침이 올 때까지 잘 자렴","deep ambient pad, quiet lullaby piano, meditation soundscape, angelic soft vocal, ultra relaxing, 50 bpm"
8,시원한 파도와 트로피컬 바이브,청량/신남,가사 포함 (보컬 곡),"하얀 파도가 부서지는 바다
푸른 바람과 함께 춤추자
가장 뜨거운 여름날의 추억
가슴 속 깊이 간직해","tropical house, summer dance pop, marimba beat, bright vocals, uplifting, 124 bpm"
9,고요한 숲속의 숨결,자연 힐링,가사 포함 (보컬 곡),"푸른 바람이 뺨을 스치고
숲의 속삭임이 나를 반겨
자연의 품에 안겨 쉬어가는
평화로운 치유의 시간","forest nature sounds, celtic flute, peaceful acoustic harp, healing soft vocal, 65 bpm"
10,당당한 걸음의 시티 바이브,자신감/동기부여,가사 포함 (보컬 곡),"화려한 도시의 조명 아래
나만의 박자로 걸어가지
흔들리지 않는 내 모습 그대로
당당하게 전진해","hiphop beat, trendy R&B groove, deep bassline, cool vocal hooks, confident vibe, 95 bpm"
