번호,항목 (곡 제목),테마 (분위기),가사 옵션,내용 (가사/설명),프롬프트 (Suno AI 스타일 태그)
1,새벽녘의 따뜻한 온기,깊은 휴식,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, soft acoustic guitar, lo-fi piano, soothing melody, relaxing ambient, 70 bpm"
2,비 내리는 카페 테라스,감성/비,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, chill jazz hop, rain sound effect, warm electric piano, smooth bass, 75 bpm"
3,오늘도 잘 견뎌낸 너에게,위로/응원,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, emotional ballad, acoustic piano, soft strings, slow tempo"
4,마인드 리셋 (Focus Flow),집중력 강화,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, ambient chill synth, binaural beats, focus study music, atmospheric, 60 bpm"
5,햇살 가득한 주말 아침,에너지 리프레시,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, bright indie pop, cheerful acoustic strumming, joyful whistling, upbeat, 110 bpm"
6,노을빛 드라이브,드라이브/기분전환,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, synthwave, 80s retro pop, energetic synth, driving beat, 120 bpm"
7,별빛 아래 딥 슬립,수면/숙면,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, deep ambient pad, quiet lullaby piano, meditation soundscape, ultra relaxing, 50 bpm"
8,시원한 파도와 트로피컬 바이브,청량/신남,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, tropical house, summer dance pop, marimba beat, s, uplifting, 124 bpm"
9,고요한 숲속의 숨결,자연 힐링,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, forest nature sounds, celtic flute, peaceful acoustic harp, 65 bpm"
10,당당한 걸음의 시티 바이브,자신감/동기부여,가사 포함하지 않음 (연주곡),[Instrumental],"instrumental, hiphop beat, trendy R&B groove, deep bassline, confident vibe, 95 bpm"
